Authors,Title,Discipline,Source title
Gary M.E.,From care ethics to pluralist care theory: The state of the field,,Philosophy Compass
Novaes A.R.,Displaying encounters: Jaime Cortesão's São Paulo exhibition and indigenous knowledge in Brazilian history,,Journal of Historical Geography
Liu X.,"Humboldt, Darwin, and romantic resonance in science",,Studies in History and Philosophy of Science
Lipartito K.,A feeling for history,,History Compass
"Reinecke D., Bimm J.",The maintenance of ambiguity in Martian exobiology,,Social Studies of Science
"Zeljko M., Grove P.M., Kritikos A.",Implicit expectation modulates multisensory perception,,"Attention, Perception, and Psychophysics"
"Kulkarni P., Pfaff S.","Church politics, sectarianism, and judicial terror: The Scottish witch-hunt, 1563 - 1736",,Explorations in Economic History
"Solazzo C., Phipps E.",Chasing the elusive viscacha in Precolumbian textiles at the intersection of art and science,,Journal of Archaeological Science
Martin J.N.,Re-Thinking The Re-Thinking of Origen: The Spirit of Hans Urs Von Balthasar’s Theodramatic Hermeneutics☆,,Modern Theology
"Lauw A., Jansma E., Pereira H.",The art trade between Flanders and Madeira Island in the 15th and 16th centuries – The contribution of dendrochronology to the history of Portuguese heritage,,Journal of Archaeological Science: Reports
"Munneke J., Duymaz İ., Corbett J.E.",Value-driven effects on perceptual averaging,,"Attention, Perception, and Psychophysics"
"Keulen N., Poulsen M.D., Frei R.","Geochemical signatures of soapstones from the Nuuk area, southern West Greenland – their use for fingerprinting of archaeological artefacts",,Journal of Archaeological Science
Pence C.H.,Whatever happened to reversion?,,Studies in History and Philosophy of Science
Maxwell A.,"Eugenics and photography in Britain, the USA and Australia 1870–1940",,Studies in History and Philosophy of Science
Majid H.,"Drought, Farm Output and Heterogeneity: Evidence from Pakistan",,Journal of South Asian Development
Barseghyan H.,"Selection, presentism, and pluralist history",,Studies in History and Philosophy of Science
"McDade J.E., Deming H.C., Jinks-Chang S., Paulsen M.R., Bui A.L., Vavilala M.S., Rivara F.P., Bulger E.M.",Stop the Bleed Training for High School Students: Guardian Attitudes and Their Association with Prior Trauma,,Journal of School Health
Muck T.C.,Questions of Context: Reading a Century of German Mission Theology,,International Bulletin of Mission Research
"Vamosi S., Reutterer T., Platzer M.",A deep recurrent neural network approach to learn sequence similarities for user-identification,,Decision Support Systems
"Beran K.M., Scafide K.N.","Factors Related to Concussion Knowledge, Attitudes, and Reporting Behaviors in US High School Athletes: A Systematic Review",,Journal of School Health
"Albornoz N., Sebastián C.","Tensions, articulations, and novelty in the ontogenetic development of historical thinking: Contributions of cultural–historical psychology",,Theory and Psychology
"Doiz A., Lasagabaster D.",Looking into English-medium instruction teachers’ metadiscourse: An ELF perspective,,System
"Jensen P.S., Pedersen M.U., Radu C.V., Sharp P.R.",Arresting the Sword of Damocles: The transition to the post-Malthusian era in Denmark,,Explorations in Economic History
Nardella B.,"Power, Resistance, and Place in Appalachia",,Cultural Studies - Critical Methodologies
Sinha N.,Genealogies of “Verification”: Policing the Master–Servant Relationship in Colonial and Postcolonial India,,International Review of Social History
Mitchell M.I.,Land reform and peacebuilding in Côte d'Ivoire: Navigating the minefield,,Journal of Agrarian Change
Xu G.,"The “Perfect Map” of Widow Hiamtse: A Micro-Spatial History of Sugar Plantations in Early Modern Southeast Asia, 1685–1710",,International Review of Social History
Hargaden E.P.,Who donates to revolutionaries? Evidence from post-1916 Ireland,,Explorations in Economic History
Varga P.A.,Edmund Husserl on the Historicity of the Gospels. A Different Look at Husserl’s Philosophy of Religion and his Philosophy of the History of Philosophy,,Husserl Studies
"Alloway B.V., Pearce N.J.G., Moreno P.I., Villarosa G., Jara I.A., Henríquez C.A., Sagredo E.A., Ryan M.T., Outes V.","Refinement of the tephrostratigraphy straddling the northern Patagonian Andes (40–41°S): new tephra markers, reconciling different archives and ascertaining the timing of piedmont deglaciation",,Journal of Quaternary Science
"Trevisan F., Rusconi P., Hanna P., Hegarty P.",Psychologising meritocracy: A historical account of its many guises,,Theory and Psychology
Fernández S.,"Origen’s Theological System in On First Principles: A Reconsideration of its Nature, Rationale, and Outline☆",,Modern Theology
Maspero G.,Imagining the Unimaginable: Origen’s Two Models of the Trinity,,Modern Theology
"Biehler-Gomez L., Mattia M., Sala C., Giordano G., Di Candia D., Messina C., Sconfienza L.M., Franchini A.F., Porro A., Galimberti P.M., Slavazzi F., Cattaneo C.",Mercury poisoning in two patients with tertiary syphilis from the Ca’ Granda hospital (17th-century Milan),,Archaeometry
"Djamali M., Capano M., Askari-Chaverdi A., Faucherre N., Guibal F., Northedge A., Rashidian E., Tuna T., Bard E.",An absolute radiocarbon chronology for the world heritage site of Sarvestan (SW Iran): A late Sasanian heritage in early Islamic era,,Archaeometry
Osen E.,"Marinus of Alexandria: Galen's anatomical forefather, or: How do you solve a problem like Marinus?",,Studies in History and Philosophy of Science
Jakoubek M.,A breakthrough of Ethnic Groups and Boundaries – reality or a myth? (On amnesia in ethnicity studies),,Ethnicities
"Hatzopoulos K., Boyes M., Hasking P.","Relationships between dimensions of emotional experience, rumination, and nonsuicidal self-injury: An application of the Emotional Cascade Model",,Journal of Clinical Psychology
"Traxler J., Connor S., Hayes S., Jandrić P.","Futures Studies, Mobilities, and the Postdigital Condition: Contention or Complement",,Postdigital Science and Education
Raghunath P.,Airing imperium: A historiography of radio governance in South Asia,,Global Media and Communication
"Espí Forcén F., Lopetegui-Lia N.",Hercules and Cancer: A Metaphorical Attempt to Beat Mortality,,Journal of Religion and Health
"Money D., Van Zyl-Hermann D.",Erratum: Revisiting White Labourism: New Debates on Working-Class Whiteness in Twentieth-Century Southern Africa (International Review of Social History (1-23) DOI: 10.1017/S0020859021000407),,International Review of Social History
Wolfgang J.D.,When Fringe Hate Goes Mainstream: How White Nationalist Discourse Manifests in Online News Commenting,,Journal of Communication Inquiry
"Guizardi M., Nazal E., Magalhães L.",Carrying the Family in the Body: Family Trajectories of Paraguayan Women in the Paraná Tri-Border Area,,Journal of Family History
Thibeault M.D.,Aebersold’s Mediated Play-A-Long Pedagogy and the Invention of the Beginning Jazz Improvisation Student,,Journal of Research in Music Education
"Santa Cruz del Barrio A., Martín-Gil J., Delibes de Castro G., Martín-Ramos P.","A Rubia spp.-based red pigment on bones from the megalithic passage grave of El Moreco (Huidobro, Burgos, Spain)",,Archaeometry
Arya D.J.,Into the void of discourse,,Linguistics and Education
"Beale E.E., Overholser J., Gomez S., Brannam S., Stockmeier C.A.",The path not taken: Distinguishing individuals who die by suicide from those who die by natural causes despite a shared history of suicide attempt,,Journal of Clinical Psychology
"Pierce K.M., Gilles C.",Examining silenc(ing) in literature discussion groups,,Linguistics and Education
Snyder R.L.,American patricians: Charles McCarry’s mythic family saga,,Orbis Litterarum
Kellman S.G.,Translingual delirium: Aleksandra Lun’s Los palimpsestos,,Orbis Litterarum
"Mickel A., Byrd N.","Cultivating trust, producing knowledge: The management of archaeological labour and the making of a discipline",,History of the Human Sciences
Erlenbusch-Anderson V.,Historicizing White Supremacist Terrorism with Ida B. Wells,,Political Theory
Winfield T.P.,Vulnerable Research: Competencies for Trauma and Justice-Informed Ethnography,,Journal of Contemporary Ethnography
De Santis D.,"Theodor Conrad, Zum Gedächtnis Edmund Husserls (Ein unveröffentlichter Aufsatz aus der Bayerischen Staatsbibliothek)",,Husserl Studies
Berryman J.,Frederick Antal and the Marxist challenge to art history,,History of the Human Sciences
Tanaka J.K.,From universal to local: German identity in Nicholas of Cusa’s Catholic Concordance,,Renaissance Studies
"Creamer C.J., Hand C.J.",Intimate Partner Stalking/Pursuit: A Pathophysiology of Attachment Style,,International Journal of Offender Therapy and Comparative Criminology
"More S., Rosenbloom T.",Career history and career identity: antecedents of job-field underemployment,,International Journal for Educational and Vocational Guidance
Winchcombe R.,"Reprinting the Colonial Past: Compilation, Inter-visuality, and Argumentative Strategy in John Smith’s Generall Historie of Virginia☆",,Renaissance Studies
"Leisser D., Bray K., Hernández A., Nasr D.",Exploring the Discursive Construction of Obedience: An Analysis of Application Letters for the Position of Executioner in Hitler’s Germany,,International Journal for the Semiotics of Law
Rosenthal H.M.,Speech Imperialization? Situating American Parrhesia in an Isegoria World,,International Journal for the Semiotics of Law
"Stephens C., Szabó Á., Breheny M.",Social inequalities over the lifecourse and healthy ageing in Aotearoa/New Zealand: Differences by Māori ethnicity and gender,,Ageing and Society
"Chen X., Yan B., Gill T.M.",Childhood Circumstances and Health Inequality in Old Age: Comparative Evidence from China and the USA,,Social Indicators Research
"Schindler S., Scholl R.",Historical Case Studies: The “Model Organisms” of Philosophy of Science,,Erkenntnis
"Ronis S.T., Knight R.A., Vander Molen L.",The Covariation of Sexual Fantasies and Behaviors Among Self-Identified Sexually Aggressive Criminal and Noncriminal Samples,,International Journal of Offender Therapy and Comparative Criminology
Dorst C.,Why do the Laws Support Counterfactuals?,,Erkenntnis
"Stevenson L.J., Biagio-de Jager L., Graham M.A., Swanepoel W.","A longitudinal community-based ototoxicity monitoring programme and treatment effects for drug-resistant tuberculosis treatment, Western Cape",,The South African journal of communication disorders = Die Suid-Afrikaanse tydskrif vir Kommunikasieafwykings
"Antypenko H., Antonenko N., Didenko K.",Urban Transformations of Kharkiv's Large Housing Estates Novi Budynky and Pavlovo Pole After 1991,,Epites-Epiteszettudomany
"Zoltán M.-P., Katalin M.",Office Organization and Space Requirements on the Examples of the Headquarters of Cities with Municipal Rights [Hat törvényhatósági jogú város székházépítési pályázata Hivatalszervezés és helyigény],,Epites-Epiteszettudomany
Dániel L.,Toward a Finno-Ugric Architecture László Vargha's Scholarly Activities Related to Finland [Egy modern finnugor építészet felé Vargha László Finnországgal kapcsolatos munkássága],,Epites-Epiteszettudomany
Angus S.,Atomic ecology,,October
Taylor D.,Puppets pulling back: Drawing out wael shawky’s histories,,October
Jorge-Sotelo E.,"THE IMPACT of the FIRST WORLD WAR on the SPANISH MONEY MARKET: NEW EVIDENCE from MONEY MARKET and BANK LENDING INTEREST RATES, 1900-1935",,Revista de Historia Economica - Journal of Iberian and Latin American Economic History
"Smith A.D., Rama T.",Environmental factors affect the evolution of linguistic subgroups in Borneo,,Diachronica
"Sapała B., Turska M.",The recovered past? Deliberations on translation in the context of historical knowledge and collective memory,,Babel
Lu S.X.,A great convergence: The American frontier and the origins of Japanese migration to Brazil,,Journal of Global History
Thai P.,"A Risky Business: The Tai Ping Insurance Company and Fire Insurance in China, 1928-1937",,Enterprise and Society
"Castaldelli-Maia J.M., Silva N.R., Ventriglio A., Gil F., Torales J., Bhugra D., De Andrade A.G., Baldassin S.",Relationship between family history of alcohol problems and different clusters of depressive symptoms,,Irish Journal of Psychological Medicine
Passarini L.,On the function of the aphoristic style in Ricordi by Francesco Guicciardini [Sulla funzione dello stile aforistico nei Ricordi di Francesco Guicciardini],,Montesquieu.it
