Authors,Title,Discipline,Source title
"Casla M., Méndez-Cabezas C., Montero I., Murillo E., Nieva S., Rodríguez J.",Spontaneous verbal repetition in toddler-adult conversations: A longitudinal study with Spanish-speaking two- year-olds,,Journal of Child Language
"Belenyi E., Flora G.",Language Use and Identity in Minority Hungarian and Hungarian-Romanian Deaf Families,,Journal of Deaf Studies and Deaf Education
"De Pascale S., Pijpops D., Van de Velde F., Zenner E.",Reassembling the Pimped Ride: A Quantitative Look at the Integration of a Borrowed Expression,,Frontiers in Communication
Reynolds D.,"What is an ELA text set? Surveying and integrating cognitive, critical and disciplinary lenses",,English Teaching
"Cantin Y., Encrevé F.",Perspectives: On the Historicalness of Sign Languages,,Frontiers in Communication
Carlucci A.,Opinions about perceived linguistic intelligibility in late-medieval Italy,,Revue Romane
"Ronfard S., Wei R., Rowe M.L.","Exploring the Linguistic, Cognitive, and Social Skills Underlying Lexical Processing Efficiency as Measured by the Looking-while-Listening Paradigm",,Journal of Child Language
"Factor L., Goffman L.",Phonological characteristics of novel gesture production in children with developmental language disorder: Longitudinal findings,,Applied Psycholinguistics
"Yang J., Du X., Hung J.-L., Tu C.-H.",Analyzing online discussion data for understanding the student's critical thinking,,Data Technologies and Applications
"Syrett K., Aravind A.",Context sensitivity and the semantics of count nouns in the evaluation of partial objects by children and adults,,Journal of Child Language
"Chappell W., Kanwit M.",DO LEARNERS CONNECT SOCIOPHONETIC VARIATION WITH REGIONAL AND SOCIAL CHARACTERISTICS?,,Studies in Second Language Acquisition
"Fu M., Li S.",THE EFFECTS OF IMMEDIATE AND DELAYED CORRECTIVE FEEDBACK ON L2 DEVELOPMENT,,Studies in Second Language Acquisition
"Minagawa H., Nesbitt D.",Being native and being foreign Native JFL teachers’ linguistic identity at tertiary institutions in New Zealand and Australia,,Australian Review of Applied Linguistics
"Naismith B., Han N.-R., Juffs A.",The university of Pittsburgh English language institute corpus (PELIC),,International Journal of Learner Corpus Research
van Eemeren F.H.,Characterising an MEP’s argumentative style Mr. Schlyter’s contribution to the debate on labelling fruit juices,,Journal of Argumentation in Context
"Serafis D., Kitis E.D., Assimakopoulos S.",Sailing to Ithaka The transmutation of Greek left-populism in discourses about the European Union,,Journal of Language and Politics
"Forchtner B., Özvatan Ö.",De/legitimising EUrope through the performance of crises The far-right Alternative for Germany on “climate hysteria” and “corona hysteria”,,Journal of Language and Politics
"Gubitosi P., Lifszyc I.",Lunfardo and political (dis)agreements in the public space,,Language and Dialogue
Marko K.,"“Depends on Who I'm Writing To”—The Influence of Addressees and Personality Traits on the Use of Emoji and Emoticons, and Related Implications for Forensic Authorship Analysis",,Frontiers in Communication
Garassino D.,A contrastive perspective on French and Italian wh-in situ questions A discourse-pragmatic approach,,Functions of Language
Pozzo M.,Moving on from Dutch to English: Young Refugees Feeling Betrayed by the Dutch Language Integration Policy and Seeking for More Inclusive Environments,,Journal of Refugee Studies
Loeb P.S.,"What Does Nietzsche Mean by ""the Same"" in His Theory of Eternal Recurrence?",,Journal of Nietzsche Studies
Retaro V.,Contatti linguistici lungo le coste tirreniche: storia della parola marruffo,,Zeitschrift fur Romanische Philologie
"Dueck B., Kisito E.E.","Authority, Deference, and Disregard in Catholic Liturgical Music in Central Cameroon",,Ethnomusicology
Thomas J.A.,"A fish tale about fieldwork, or toward multilingual interviewing in applied linguistics",,Annual Review of Applied Linguistics
Cui Y.,Multilingualism and identity construction: A case study of a Uyghur female youth,,Annual Review of Applied Linguistics
Cioè-Peña M.,The master's tools will never dismantle the master's school: Interrogating settler colonial logics in language education,,Annual Review of Applied Linguistics
